date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago,
20090216,2/16/2009,1,16,47,Monday,Mon,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/16/2008,
20090217,2/17/2009,2,17,48,Tuesday,Tue,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/17/2008,
20090218,2/18/2009,3,18,49,Wednesday,Wed,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/18/2008,
20090219,2/19/2009,4,19,50,Thursday,Thu,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/19/2008,
20090220,2/20/2009,5,20,51,Friday,Fri,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/20/2008,
20090221,2/21/2009,6,21,52,Saturday,Sat,Weekend,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/21/2008,
20090222,2/22/2009,7,22,53,Sunday,Sun,Weekend,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/22/2008,
20090223,2/23/2009,1,23,54,Monday,Mon,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/23/2008,
20090224,2/24/2009,2,24,55,Tuesday,Tue,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/24/2008,
20090225,2/25/2009,3,25,56,Wednesday,Wed,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/25/2008,
20090226,2/26/2009,4,26,57,Thursday,Thu,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/26/2008,
20090227,2/27/2009,5,27,58,Friday,Fri,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/27/2008,
20090228,2/28/2009,6,28,59,Saturday,Sat,Weekend,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Month End,2/28/2008,
20090301,3/1/2009,7,1,60,Sunday,Sun,Weekend,9,9,2/23/2009,20090223,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/1/2008,
20090302,3/2/2009,1,2,61,Monday,Mon,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/2/2008,
20090303,3/3/2009,2,3,62,Tuesday,Tue,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/3/2008,
20090304,3/4/2009,3,4,63,Wednesday,Wed,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/4/2008,
20090305,3/5/2009,4,5,64,Thursday,Thu,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/5/2008,
20090306,3/6/2009,5,6,65,Friday,Fri,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/6/2008,
20090307,3/7/2009,6,7,66,Saturday,Sat,Weekend,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/7/2008,
20090308,3/8/2009,7,8,67,Sunday,Sun,Weekend,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/8/2008,
20090309,3/9/2009,1,9,68,Monday,Mon,Weekday,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/9/2008,
20090310,3/10/2009,2,10,69,Tuesday,Tue,Weekday,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/10/2008,
20090311,3/11/2009,3,11,70,Wednesday,Wed,Weekday,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/11/2008,
20090312,3/12/2009,4,12,71,Thursday,Thu,Weekday,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/12/2008,
20090313,3/13/2009,5,13,72,Friday,Fri,Weekday,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/13/2008,
20090314,3/14/2009,6,14,73,Saturday,Sat,Weekend,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/14/2008,
20090315,3/15/2009,7,15,74,Sunday,Sun,Weekend,11,11,3/9/2009,20090309,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/15/2008,
20090316,3/16/2009,1,16,75,Monday,Mon,Weekday,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/16/2008,
20090317,3/17/2009,2,17,76,Tuesday,Tue,Weekday,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/17/2008,
20090318,3/18/2009,3,18,77,Wednesday,Wed,Weekday,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/18/2008,
20090319,3/19/2009,4,19,78,Thursday,Thu,Weekday,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/19/2008,
20090320,3/20/2009,5,20,79,Friday,Fri,Weekday,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/20/2008,
20090321,3/21/2009,6,21,80,Saturday,Sat,Weekend,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/21/2008,
20090322,3/22/2009,7,22,81,Sunday,Sun,Weekend,12,12,3/16/2009,20090316,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/22/2008,
20090323,3/23/2009,1,23,82,Monday,Mon,Weekday,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/23/2008,
20090324,3/24/2009,2,24,83,Tuesday,Tue,Weekday,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/24/2008,
20090325,3/25/2009,3,25,84,Wednesday,Wed,Weekday,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/25/2008,
20090326,3/26/2009,4,26,85,Thursday,Thu,Weekday,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/26/2008,
20090327,3/27/2009,5,27,86,Friday,Fri,Weekday,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/27/2008,
20090328,3/28/2009,6,28,87,Saturday,Sat,Weekend,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/28/2008,
20090329,3/29/2009,7,29,88,Sunday,Sun,Weekend,13,13,3/23/2009,20090323,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/29/2008,
20090330,3/30/2009,1,30,89,Monday,Mon,Weekday,14,14,3/30/2009,20090330,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/30/2008,
20090331,3/31/2009,2,31,90,Tuesday,Tue,Weekday,14,14,3/30/2009,20090330,3,3,March,Mar,1,2009,200903,9,3,2009,Month End,3/31/2008,
20090401,4/1/2009,3,1,91,Wednesday,Wed,Weekday,14,14,3/30/2009,20090330,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/1/2008,
20090402,4/2/2009,4,2,92,Thursday,Thu,Weekday,14,14,3/30/2009,20090330,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/2/2008,
20090403,4/3/2009,5,3,93,Friday,Fri,Weekday,14,14,3/30/2009,20090330,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/3/2008,
20090404,4/4/2009,6,4,94,Saturday,Sat,Weekend,14,14,3/30/2009,20090330,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/4/2008,
20090405,4/5/2009,7,5,95,Sunday,Sun,Weekend,14,14,3/30/2009,20090330,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/5/2008,
